,date,content,title,score
0,2021-04-25 01:36:26,"Não funciona com CNH, não reconhece a biometria TSE, não funciona com autenticação do Banco do Brasil (exige a contratação de serviço SMS para receber código).",Não reconhece,4
1,2021-10-30 13:05:04,Ótimo,Avaliação facial,4
2,2021-10-30 11:45:02,Cláudio Franklin,Cláudio Franklin,4
3,2021-10-27 21:40:44,Muito pratico e rápido,Excelente,4
4,2021-10-26 00:20:20,Não consegui fazer o reconhecimento facial,Reconhecimento facial,4
5,2021-10-24 22:29:09,Perfeito,Luciawrpl,4
6,2021-10-17 19:22:11,Só precisar ser mais rápido,Muito bom,4
7,2021-10-14 11:54:32,Bom,App gov,4
8,2021-10-04 19:30:34,Demorado,Demorado,4
9,2021-10-04 19:09:20,"Aplicativo muito bom para quem sabe mexer com aplicativos, mas muito difícil para pessoas leigas e idosas.",Avaliação Aplicativo GOV.BR,4
10,2021-10-03 22:23:53,Médio,Fica dando erro em várias etapas! Horrível,4
11,2021-09-30 00:14:07,Muito bom,094800520582,4
12,2021-09-29 20:37:00,Tudo em ordem com o programa. Funcionalidades ok!,Reconhecimento facial Ok,4
13,2021-09-23 18:37:17,"Boa tarde, as pessoas tuteladas tem a maior dificuldade do mundo. Não tem CNH, não pode votar e não tem registro no TSE, o acesso a informática tem de ser feito por terceiros, tutores, que nem sempre conseguem obter, além do medo de fraude ao receber msgs pedindo dados ! Poderia se ter um canal presencial para essas pessoas em cada capital de estado no Brasil. Imagina a dificuldade de quem mora no interior. Mora em Brasília e a dificuldade é total! Obrigado",Dificuldade para tutelados,4
14,2021-09-22 19:40:02,Bom,App,4
15,2021-09-21 23:23:25,Obrigado,Kelson,4
16,2021-09-21 17:14:06,Obrigado,Não,4
17,2021-09-20 13:46:58,"Muitas mudanças. Estão lidando com muitos idosos, com muitas dificuldades. E assistidos, em sua maioria, por pessoas nem tão hábeis. Vale lembrar que o aplicativo é a mais prática forma de comunicação: há riscos/dificuldade para levar o servidor/beneficiário a bancos ou entidades pagadoras.",Avaliação,4
18,2021-09-17 13:41:31,"Não consigo atualizar meu endereço residencial, a aplicativo no campo “bairro”, não abre para digito, talvez em função do CEP, no meu caso da cidade não ter CEP por rua.
Obs. Meu CEP no município é ÚNICO.",Sobre o APP,4
