,date,content,score,version,thumbs
0,2021-10-11 11:18:22,bom ok,4,3.0.0,0
1,2021-10-11 10:40:55,bom app,4,3.0.0,0
2,2021-10-11 09:44:20,complicado mas boa,4,3.0.0,0
3,2021-10-10 23:48:54,Estou tentando entra no aplicativo e não consigo tentei a recuperação de conta e não deu certo . Quero baixar minha CNH digital me ajudem oque está errado? não estou cadastrado no site ?,4,3.0.0,0
4,2021-10-10 18:39:39,okay,4,3.0.0,0
5,2021-10-10 17:48:38,Não consigo mas fazer um cadastro porq?,4,3.0.0,0
6,2021-10-10 16:53:24,"até agora o App tem sido muoto bom, vou ver se consigo resolver meus problemas e assim vou avaliar melhor",4,3.0.0,0
7,2021-10-10 15:35:20,parece bom,4,3.0.0,0
8,2021-10-10 12:22:34,legal,4,3.0.0,0
9,2021-10-09 23:32:59,bom,4,3.0.0,0
