,date,content,score,version,thumbs
0,2021-10-11 11:20:16,"Horroroso, não permite aumentar o nivel da conta",1,3.0.0,0
1,2021-10-11 11:16:12,otimo,1,3.0.0,0
2,2021-10-11 11:14:19,"Não consigo fazer um desbloqueio no APP do INSS pois diz que devo aumentareu selo de confiabilidade, mais eu já estou no nível ouro que é o máximo. Estou impedida de fazer o desbloqueio por conta disso.",1,3.0.0,0
4,2021-10-11 10:47:25,"Da raiva, perda de tempo",1,3.0.0,0
5,2021-10-11 10:45:44,"Não consegui criar conta de jeito nenhum, já tentei pelo app e pelo PC e não funciona. Preciso muito imprimir o documento do carro",1,3.0.0,0
6,2021-10-11 10:43:01,Pode mim ajuda não tô conseguindo recupera senha quando vo entra no aplicativo digito o cpf e quando vou digita senha viu na opção esqueci senha faço todo o processo mas a parece o campo do cpf deve se informado não não consigo recupera a senha pra entra no aplicativo,1,3.0.0,0
7,2021-10-11 10:31:39,"Olá, boa tarde! Já faz uma semana que eu estou enfrentando um grande problema com o gov.br.Está dando erro ao tentar logar no App, só consigo pelo site e isso está me gerando grandes transtornos,preciso portar a habilitação no celular, pois não recebi a habilitação física. Enfim, entrei em contato com vocês pela avaliação do Aplicativo, me disseram que iria resolver o problema e até agora nenhum solução foi tomada.É de mais o governo querer digitalizar os documentos e não te-los disponíveis .",1,3.0.0,49
8,2021-10-11 09:26:01,"Muito ruim, sequer abri, medíocre ao extremo como tudo é atualmente no Ministério da Saúde",1,3.0.0,0
9,2021-10-11 08:27:53,"A ideia do app é muito boa, porém, fiquei uma semana pra conseguir fazer o reconhecimento facial pra pegar o selo ouro, depois disso, nunca mais consegui logar. Felizmente ainda tem o site pra resolver as coisas pra quem precisar assinar algum documento. Mas se algum dia precisar de algo específico do app, creio que terei dificuldades.",1,3.0.0,0
0,2021-10-10 23:13:27,"estou tentando a dias pra trocar o email que esta na minha conta do gov.br ,porque nao reconheço o email e preciso reedefinir a senha,pois preciso responder o questionario para fazer a prova do Enade ,mais nem uma opçao oferecida funciona .E nao posso me prejudicar por causa disso .Ja abrir um chamado a quase quinze dias e nao obtive resposta ate agora.Nao adianta oferecer opçoes pra trocar o email ,se as opçoes oferecidas nao funcionam e agente abre um chamado e nao resolveram ate o presente momento.",2,3.0.0,0
1,2021-10-10 18:52:46,"Boa noite! varias tentativas para baixar o CRLV 2021 e NÃO CONSIGO, tenho o 2020 instalado, para baixar o 2021, o sistema diz; EXCLUA O ANTERIOR E REINSTALE PARA ATUALIZAR, JÁ FIZ E QUANDO REINSTÁLO, APARECE O CRLV DE 2020; UMA LOUCURA ESTE DETRAN DO DISTRITO FEDERAL.",2,3.0.0,0
3,2021-10-10 13:12:13,estou acostumando cm o app,2,3.0.0,0
4,2021-10-10 11:09:54,Bom Dia. Não tem a opção de acessar com a biometria do celular. O reconhecimento facial não finaliza. Por enquanto bem complicado o acesso.,2,3.0.0,0
5,2021-10-09 16:44:57,Boa tarde não tenho acesso a nenhun email e nem telefone mais não sei o que fazer.pra recuper minha conta.,2,3.0.0,0
6,2021-10-09 16:11:44,"O sistema de reconhecimento facial é horrível, não funciona. Para manter um app no meu celular com as informações que tenho em todos os outros apps, não compensa. Prestes a desinstalar!",2,3.0.0,0
7,2021-10-09 11:46:08,Toda vez que deslogo do App e vou logar de novo ele pede autorização dos meu dados. Se eu já autorizei uma vez não precisa ficar pedindo autorização novamente.,2,3.0.0,0
8,2021-10-09 10:18:32,"Consegui entrar mas da segunda vez da erro, não consigo mais acessar.",2,3.0.0,0
9,2021-10-09 08:58:10,recoecimento fácil ruim,2,3.0.0,0
0,2021-10-10 20:15:11,Lento,3,3.0.0,0
1,2021-10-10 14:51:06,e difícil mas e complicado essas coisa,3,3.0.0,0
2,2021-10-10 13:34:47,muitos erros na hora de recuperar senha,3,3.0.0,0
3,2021-10-10 11:34:21,"Bom, de uma forma geral...poderia ser + rápido esse reconhecimento facial...,+ ok!",3,3.0.0,0
4,2021-10-10 09:52:36,bom,3,3.0.0,0
5,2021-10-10 09:35:13,meu emai não começa com M,3,3.0.0,0
6,2021-10-10 09:00:28,Não quero,3,3.0.0,0
7,2021-10-10 00:14:01,É muito ..... .... elevanti..as características de bom humor,3,3.0.0,0
8,2021-10-09 23:08:51,olá eu baixei o App só que tanto entra da que eu já sou cadastrado sendo que nunca usei esse a pó por favor me ajude a usa,3,3.0.0,0
9,2021-10-09 20:49:12,Fraca,3,3.0.0,0
0,2021-10-11 11:18:22,bom ok,4,3.0.0,0
1,2021-10-11 10:40:55,bom app,4,3.0.0,0
2,2021-10-11 09:44:20,complicado mas boa,4,3.0.0,0
3,2021-10-10 23:48:54,Estou tentando entra no aplicativo e não consigo tentei a recuperação de conta e não deu certo . Quero baixar minha CNH digital me ajudem oque está errado? não estou cadastrado no site ?,4,3.0.0,0
4,2021-10-10 18:39:39,okay,4,3.0.0,0
5,2021-10-10 17:48:38,Não consigo mas fazer um cadastro porq?,4,3.0.0,0
6,2021-10-10 16:53:24,"até agora o App tem sido muoto bom, vou ver se consigo resolver meus problemas e assim vou avaliar melhor",4,3.0.0,0
7,2021-10-10 15:35:20,parece bom,4,3.0.0,0
8,2021-10-10 12:22:34,legal,4,3.0.0,0
9,2021-10-09 23:32:59,bom,4,3.0.0,0
