,date,content,score,version,thumbs
0,2021-10-06 10:24:56,"Não consigo compartilhar o meu CDI, preciso urgente do documento e o app não funciona, dois dias tentando e nada de arrumarem",1,3.0.0,0
1,2021-10-06 10:12:09,😔,1,3.0.0,0
2,2021-10-06 09:45:51,"Muitas falias de segurança, cadastrei meu reconhecimento facial, aconteceu de eu esquece a senha e quando fui recupera o meu acesso não esta reconhecendo",1,3.0.0,0
4,2021-10-06 06:38:05,Nao está sendo possível aumentar o nível!,1,3.0.0,0
5,2021-10-06 05:16:59,"Não parece ser um site confiável, não é facil acessar e faz o recapta ser uma bricadeira.",1,3.0.0,0
6,2021-10-06 04:42:13,"Não concigo fazer login por causa de que o celular ali não é o meu número, como altero o número de celular cadastrado ali?",1,3.0.0,0
7,2021-10-06 03:04:17,Fica aparecendo impossivel assessar favor olhas as credenciais como fasso isso poderia mi ajudar ?,1,3.0.0,0
8,2021-10-06 02:18:48,bom,1,3.0.0,0
9,2021-10-06 02:09:22,lixo,1,3.0.0,0
10,2021-10-06 01:54:13,"O dia todo tentando entrar e só da erro, incrível",1,3.0.0,0
13,2021-10-06 00:34:55,"Não consigo cadastrar nem recuperar pelo CPF...não aparece opção válida (visual não tenho) banco se tranca em validar, NAO APARECE OPCAO DE COMPLEMENTAR Agradeco orientação....",1,3.0.0,0
15,2021-10-06 00:21:05,"Muito ruim só anda bloqueando a pessoa só fé, piorar não consigo informações Nei documento para falar a verdade não consigo acessar um dos piores",1,3.0.0,0
17,2021-10-06 00:07:31,"Santa paciência ,isso diz que eu já tenho cadastro e eu nem tenho a senha ,como que eu vou ter um cadastro cujo eu não fiz e ainda na hora de tentar recuperar a conta não bate o meu próprio reconhecimento facial? E ainda por telefone ,é um número que eu nunca tive... paciência né?",1,3.0.0,0
20,2021-10-05 23:41:50,Como tudo que esse governo faz...so piora,1,3.0.0,0
21,2021-10-05 23:29:07,Muito burocrático e pouco seguro,1,3.0.0,0
23,2021-10-05 23:12:57,"Minha experiência foi péssima, não consigo recuperar senha, tem um email que nem é meu. Um inferno, esse aplicativo é zero estrelas. Já fui no site que consta onde diz que é pra atualizar cadastro, e não vai a lugar nenhum.",1,3.0.0,0
24,2021-10-05 22:55:24,Pior app que já vi não consigo fazer o reconhecimento facial e um tal de pisca sorria Aff negócio chato.,1,3.0.0,0
25,2021-10-05 22:44:59,"Não tinha cadastrado nada e em lugar algum, coloquei meu CPF e pede uma senha que não havia colocado.???... En vez de facilitar só complocam (bancos não aparece a onde recebo meu benefício, tentar entra no saite não abre) APP INÚTIL. Anden com a carteira de vacinação é mas prático.",1,3.0.0,0
27,2021-10-05 21:43:33,"Não deixa acessar o aplicativo, não tem biometria na base????????????? Então não serve.",1,3.0.0,0
29,2021-10-05 21:26:15,"Péssimo! Como tudo o que é público, parece que é feito para não funcionar!!!! Vergonha!!!👎👎👎",1,3.0.0,0
30,2021-10-05 21:12:33,Não dá pra Atualizar o cadastro esse aplicativo é simplesmente inútil.,1,3.0.0,0
31,2021-10-05 21:01:31,"Péssimo aplicativo, simplesmente não funciona, não se consegue acesso por nenhuma das vias disponíveis. ,",1,3.0.0,0
32,2021-10-05 20:47:09,Lixo nao cnsigo criar a conta,1,3.0.0,0
33,2021-10-05 20:46:04,Péssimo...a intenção é não conseguir entrar no aplicativo...pois eles conseguiram fazer um aplicativo pra não funcionar,1,3.0.0,0
34,2021-10-05 20:45:36,Rui,1,3.0.0,0
35,2021-10-05 20:25:00,O aplicativo parou do nada e fala que minhas credenciais são inválidas. Estava tudo certo de repente deu erro. Fiz o que você me pediu e até agora não tive resposta.,1,3.0.0,0
37,2021-10-05 20:14:39,"enquanto essa transição não ter a atenção necessária, isso tudo vai continuar ruim.",1,3.0.0,0
38,2021-10-05 20:11:36,"Boa tarde!! não consigo entrar , faz dois dias q esta dando erro!!!!",1,3.0.0,0
39,2021-10-05 20:10:26,ótimo,1,3.0.0,0
40,2021-10-05 20:04:06,lixo lixo lixo lixo lixo lixo,1,3.0.0,0
41,2021-10-05 19:54:58,"não tem opções para quando esqueci a senha, deveriam simplesmente mandar um código de segurança para SMS. reconhecimento facial não funciona fiz inúmeras tentativas sem sucesso. Falta outros bancos para acesso. horrível e irritante🤬",1,3.0.0,0
42,2021-10-05 19:48:05,"Aplicativo não funciona, não faz login apesar da senha está correta e reconhecimento facial não funciona.",1,3.0.0,0
43,2021-10-05 19:37:30,Do que adianta ter desbloqueio por biometria se não funciona e nem o reconhecimento facial que sempre da erro.,1,3.0.0,0
44,2021-10-05 19:10:21,Não consegue fazer o reconhecimento facial,1,3.0.0,0
45,2021-10-05 19:08:39,Não consigo fazer 1o acesso... missão impossível! navegabilidade 0!,1,3.0.0,0
46,2021-10-05 19:06:15,"Não consigo passar da parte do reconhecimento fácil, tirando que o celular fica vibrando tremendo todo o vídeo que é capturado, não tem opção de relatar problemas para o suporte no app. Resumindo não conseguiu usar para nada o app. Espero que melhorem em atualização futuras!",1,3.0.0,0
47,2021-10-05 18:54:39,Péssimo app. Nao consigo criar conta pois dá que o reconhecimento facial está inválido. Eu não sei mais o que fazer pra criar meu acesso no gov.br!!!!!,1,3.0.0,0
48,2021-10-05 18:36:47,"App é inútil, não consigo acessar. Não tenho os dados biométricos do título ainda, aí não me permitem acesso. E quem mora no interior? Muitos lugares ainda não fizeram o cadastramento. Ridículo essa dificuldade, como sempre no Brasil, uma burocracia desnecessária. Só mais um exemplo de ineficiência do serviço público.",1,3.0.0,0
49,2021-10-05 18:27:42,N funciona,1,3.0.0,0
50,2021-10-05 18:22:55,Não consigo fazer o cadastro pra troca a senha não está me ajudando em nada,1,3.0.0,0
51,2021-10-05 17:58:42,lixo,1,3.0.0,0
52,2021-10-05 17:52:20,"Não tenho mais acesso ao e-mail, e quando faz os procedimentos de recuperação, eles pedem um código que manda para o e-mail, não consigo acessar nada e não tem outra opção para recuperação de conta.",1,3.0.0,0
53,2021-10-05 17:40:12,Muitoooo ruim,1,3.0.0,0
54,2021-10-05 17:31:22,Perdi meu acesso porque bloquearam meu chip e não consigo receber o código pra mudar a senha,1,3.0.0,0
56,2021-10-05 17:17:30,Toda vez que eu tento entra não solicita o meu acesso.,1,3.0.0,0
57,2021-10-05 17:07:21,Aplicativo horrível não faz as funções básicas q deveria executar,1,3.0.0,0
58,2021-10-05 17:01:19,Minha conta feita pela previência do governo foi desativada na verdade foi o meu aplicativa automaticamente errei naã aconta mas atrvez dela eu Vilma Gomes acompanhava o meu contra cheque e agora não tenho como .,1,2.1.9,0
59,2021-10-05 17:00:50,"Já tentei fazer o reconhecimento facial e me sinto um palhaço,nunca consigo realizar esse procedimento.e o motivo não é por culpa do usuário,já tentei muitas vezes e não finaliza. Vire pisque sorria vire para a esquerda vire para a direita blablablablablabla.",1,3.0.0,0
60,2021-10-05 16:48:17,Ainda sem solução. O melhor é desinstalar. Agora também não posso acessar carteira digital de trânsito porque precisa ter acesso ao gov.br. já mandei e-mail como solicitado. Pode ser que um dia funcione.,1,3.0.0,0
61,2021-10-05 16:44:26,Não estou conseguindo atualizar o meu app,1,2.1.9,0
62,2021-10-05 16:04:18,"Péssimo. Você não consegue recuperar a senha, não consegue fazer nada. Péssimo, horrível. Como pode APP feito pata nos ajudar, fazer tanta raiva assim??.. duas horas aqui e não consegui recuperar minha senha para ter acesso a minha carteira digital.",1,3.0.0,0
